,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Id,Species,Speciesnew
1,-0.897673879,1.028611281,-1.33679402,-1.308592819,1,Iris-setosa,0
2,-1.139200483,-0.124540379,-1.33679402,-1.308592819,2,Iris-setosa,0
3,-1.380727088,0.336720285,-1.393469855,-1.308592819,3,Iris-setosa,0
4,-1.50149039,0.106089953,-1.280118186,-1.308592819,4,Iris-setosa,0
5,-1.018437181,1.259241613,-1.33679402,-1.308592819,5,Iris-setosa,0
6,-0.535383973,1.951132609,-1.166766516,-1.046524832,6,Iris-setosa,0
7,-1.50149039,0.797980949,-1.33679402,-1.177558826,7,Iris-setosa,0
8,-1.018437181,0.797980949,-1.280118186,-1.308592819,8,Iris-setosa,0
9,-1.743016994,-0.355170711,-1.33679402,-1.308592819,9,Iris-setosa,0
10,-1.139200483,0.106089953,-1.280118186,-1.439626813,10,Iris-setosa,0
11,-0.535383973,1.489871945,-1.280118186,-1.308592819,11,Iris-setosa,0
12,-1.259963786,0.797980949,-1.223442351,-1.308592819,12,Iris-setosa,0
13,-1.259963786,-0.124540379,-1.33679402,-1.439626813,13,Iris-setosa,0
14,-1.863780296,-0.124540379,-1.506821524,-1.439626813,14,Iris-setosa,0
15,-0.052330764,2.181762941,-1.45014569,-1.308592819,15,Iris-setosa,0
16,-0.173094066,3.104284269,-1.280118186,-1.046524832,16,Iris-setosa,0
17,-0.535383973,1.951132609,-1.393469855,-1.046524832,17,Iris-setosa,0
18,-0.897673879,1.028611281,-1.33679402,-1.177558826,18,Iris-setosa,0
19,-0.173094066,1.720502277,-1.166766516,-1.177558826,19,Iris-setosa,0
20,-0.897673879,1.720502277,-1.280118186,-1.177558826,20,Iris-setosa,0
21,-0.535383973,0.797980949,-1.166766516,-1.308592819,21,Iris-setosa,0
22,-0.897673879,1.489871945,-1.280118186,-1.046524832,22,Iris-setosa,0
23,-1.50149039,1.259241613,-1.563497359,-1.308592819,23,Iris-setosa,0
24,-0.897673879,0.567350617,-1.166766516,-0.915490838,24,Iris-setosa,0
25,-1.259963786,0.797980949,-1.053414847,-1.308592819,25,Iris-setosa,0
26,-1.018437181,-0.124540379,-1.223442351,-1.308592819,26,Iris-setosa,0
27,-1.018437181,0.797980949,-1.223442351,-1.046524832,27,Iris-setosa,0
28,-0.776910577,1.028611281,-1.280118186,-1.308592819,28,Iris-setosa,0
29,-0.776910577,0.797980949,-1.33679402,-1.308592819,29,Iris-setosa,0
30,-1.380727088,0.336720285,-1.223442351,-1.308592819,30,Iris-setosa,0
31,-1.259963786,0.106089953,-1.223442351,-1.308592819,31,Iris-setosa,0
32,-0.535383973,0.797980949,-1.280118186,-1.046524832,32,Iris-setosa,0
33,-0.776910577,2.412393273,-1.280118186,-1.439626813,33,Iris-setosa,0
34,-0.414620671,2.643023605,-1.33679402,-1.308592819,34,Iris-setosa,0
35,-1.139200483,0.106089953,-1.280118186,-1.439626813,35,Iris-setosa,0
36,-1.018437181,0.336720285,-1.45014569,-1.308592819,36,Iris-setosa,0
37,-0.414620671,1.028611281,-1.393469855,-1.308592819,37,Iris-setosa,0
38,-1.139200483,0.106089953,-1.280118186,-1.439626813,38,Iris-setosa,0
39,-1.743016994,-0.124540379,-1.393469855,-1.308592819,39,Iris-setosa,0
40,-0.897673879,0.797980949,-1.280118186,-1.308592819,40,Iris-setosa,0
41,-1.018437181,1.028611281,-1.393469855,-1.177558826,41,Iris-setosa,0
42,-1.622253692,-1.738952704,-1.393469855,-1.177558826,42,Iris-setosa,0
43,-1.743016994,0.336720285,-1.393469855,-1.308592819,43,Iris-setosa,0
44,-1.018437181,1.028611281,-1.223442351,-0.784456844,44,Iris-setosa,0
45,-0.897673879,1.720502277,-1.053414847,-1.046524832,45,Iris-setosa,0
46,-1.259963786,-0.124540379,-1.33679402,-1.177558826,46,Iris-setosa,0
47,-0.897673879,1.720502277,-1.223442351,-1.308592819,47,Iris-setosa,0
48,-1.50149039,0.336720285,-1.33679402,-1.308592819,48,Iris-setosa,0
49,-0.656147275,1.489871945,-1.280118186,-1.308592819,49,Iris-setosa,0
50,-1.018437181,0.567350617,-1.33679402,-1.308592819,50,Iris-setosa,0
51,1.396828861,0.336720285,0.533508524,0.263815108,51,Iris-versicolor,1
52,0.672249049,0.336720285,0.420156854,0.394849102,52,Iris-versicolor,1
53,1.276065559,0.106089953,0.646860193,0.394849102,53,Iris-versicolor,1
54,-0.414620671,-1.738952704,0.136777681,0.132781114,54,Iris-versicolor,1
55,0.793012351,-0.585801043,0.476832689,0.394849102,55,Iris-versicolor,1
56,-0.173094066,-0.585801043,0.420156854,0.132781114,56,Iris-versicolor,1
57,0.551485746,0.567350617,0.533508524,0.525883096,57,Iris-versicolor,1
58,-1.139200483,-1.508322372,-0.259953162,-0.260320868,58,Iris-versicolor,1
59,0.913775653,-0.355170711,0.476832689,0.132781114,59,Iris-versicolor,1
60,-0.776910577,-0.816431375,0.080101846,0.263815108,60,Iris-versicolor,1
61,-1.018437181,-2.4308437,-0.146601492,-0.260320868,61,Iris-versicolor,1
62,0.068432538,-0.124540379,0.25012935,0.394849102,62,Iris-versicolor,1
63,0.18919584,-1.969583036,0.136777681,-0.260320868,63,Iris-versicolor,1
64,0.309959142,-0.355170711,0.533508524,0.263815108,64,Iris-versicolor,1
65,-0.293857369,-0.355170711,-0.089925658,0.132781114,65,Iris-versicolor,1
66,1.034538955,0.106089953,0.36348102,0.263815108,66,Iris-versicolor,1
67,-0.293857369,-0.124540379,0.420156854,0.394849102,67,Iris-versicolor,1
68,-0.052330764,-0.816431375,0.193453516,-0.260320868,68,Iris-versicolor,1
69,0.430722444,-1.969583036,0.420156854,0.394849102,69,Iris-versicolor,1
70,-0.293857369,-1.27769204,0.080101846,-0.129286874,70,Iris-versicolor,1
71,0.068432538,0.336720285,0.590184358,0.787951084,71,Iris-versicolor,1
